measure,unit
"1,2,3-Trichlorobenzene",µg/l
"1,2,4-Trichlorobenzene",µg/l
Acenaphthene,µg/l
Acenaphthylene,µg/l
AGOC-3A,µg/l
Alachlor,µg/l
Aldrin,µg/l
alpha-Hexachlorocyclohexane,µg/l
Aluminium,µg/l
Ammonium,mg/l
Anionic active surfactants,mg/l
Anthracene,µg/l
AOX,µg/l
Arsenic,µg/l
Atrazine,µg/l
Barium,µg/l
Benzo(a)anthracene,µg/l
Benzo(a)pyrene,µg/l
Benzo(b)fluoranthene,µg/l
"Benzo(g,h,i)perylene",µg/l
Benzo(k)fluoranthene,µg/l
Berilium,µg/l
beta-Hexaxchlorocyclohexane,µg/l
Bicarbonates,mg/l
Biochemical Oxygen,mg/l
Boron,µg/l
Cadmium,µg/l
Calcium,mg/l
Carbonates,mg/l
Cesium,µg/l
Chemical Oxygen Demand (Cr),mg/l
Chemical Oxygen Demand (Mn),mg/l
Chlorides,mg/l
Chlorodinine,µg/l
Chromium,µg/l
Chrysene,µg/l
Copper,µg/l
Cyanides,µg/l
Dieldrin,µg/l
Dissolved organic carbon,mg/l
Dissolved oxygen,mg/l
Dissolved silicates,mg/l
Endosulfan (alpha),µg/l
Endosulfan (beta),µg/l
Endrin,µg/l
Fecal coliforms,mg/l
Fecal streptococci ,mg/l
Fluoranthene,µg/l
Fluorene,µg/l
gamma-Hexachlorocyclohexane,µg/l
Heptachlor,µg/l
Heptachloroepoxide,µg/l
Hexachlorobenzene,µg/l
"Indeno(1,2,3-c,d)pyrene",µg/l
Inorganic nitrogen,mg/l
Iron,mg/l
Isodrin,mg/l
Lead,µg/l
Macrozoobenthos,"  "
Magnesium,mg/l
Manganese,mg/l
Mercury,µg/l
Methoxychlor,µg/l
Methylosmoline,µg/l
Metolachlor,µg/l
Naphthalene,mg/l
Nickel,µg/l
Nitrates,mg/l
Nitrites,mg/l
Organic nitrogen,mg/l
Orthophosphate-phosphorus,mg/l
Oxygen saturation,mg/l
"p,p-DDD",µg/l
"p,p-DDE",µg/l
"p,p-DDT",µg/l
PAHs,µg/l
PCB 101,µg/l
PCB 118,µg/l
PCB 138,µg/l
PCB 153,µg/l
PCB 180,µg/l
PCB 28,µg/l
PCB 52,µg/l
Pentachlorobenzene,µg/l
Petroleum hydrocarbons,mg/l
Phenanthrene,µg/l
Potassium,mg/l
Pyrene,µg/l
Selenium,µg/l
Silica (SiO2),mg/l
Simazine,µg/l
Sodium,mg/l
Sulfides,mg/l
Sulphates,mg/l
Tetrachloromethane,µg/l
Total coliforms,mg/l
Total dissolved phosphorus,mg/l
Total dissolved salts,mg/l
Total extractable matter,mg/l
Total hardness,mg/l
Total nitrogen,mg/l
Total organic carbon,mg/l
Total phosphorus,mg/l
Trifluralin,µg/l
Water temperature,C
Zinc,µg/l
